AA,                      29720838, -95342706, 20, false
Albertus,                29723628, -95338570, 3, false
Anne Plaza,              29721242, -95342718, 16, false
Architecture Roof,       29724241, -95342550, 1, false
Art on Campus,           29726868, -95340900, 6, false
Blaffer,                 29724754, -95342810, 18, false
Bronze Cougars,          29720614, -95344115, 15, false
Cheyenne,                29721354, -95342890, 16, false
Colourful Serpentine,    29718968, -95339824, 5, false
Cube Geysers,            29719570, -95344160, 5, false
Cultural Reach,          29723828, -95344442, 1, false
Four Lies,               29718543, -95342836, 8, false
Gourds,                  29721842, -95338516, 5, false
Half Spheres,            29723626, -95346047, 9, false
Healing Nature,          29718526, -95338202, 13, false
Hilton Twist,            29719427, -95341260, 24, false
Lynn Plaza,              29719444, -95342942, 7, false
Orpheus,                 29724739, -95342404, 2, false
Pond Art,                29724284, -95340758, 21, false
Quad Art,                29723437, -95343413, 15, false
Red Crane,               29723328, -95340633, 4, false
Redtub,                  29723664, -95342195, 15, false
Sandy,                   29722732, -95344743, 18, false
Shapeless Triangle,      29718389, -95344697, 3, false
Sofu Teshighara,         29722490, -95343887, 0, false
Spikey Flag,             29719237, -95342758, 2, false
Tau Beta,                29723095, -95341709, 9, false
Troika,                  29723953, -95345359, 15, false
Tube Tree,               29723249, -95341197, 3, false
UH Art,                  29723037, -95344727, 1, false
UH Baseball Chairs,      29727145, -95344377, 2, false
UH Seal,                 29719834, -95341884, 11, false
UH Walking Giants,       29724053, -95343020, 24
Violin Player,           29724617, -95342180, 2
Waterfall,               29720874, -95344698, 5
Welcome Center,          29718716, -95339504, 13
Winged Victory,          29725596, -95344114, 19
