Copper Fragments                  , 34411951, -119849067, 2
Holded Stone Art                  , 34412261, -119848808, 6
Jamba Juice UC Santa Barbara      , 34411770, -119848019, 3
Loop Sculpture                    , 34411789, -119848689, 1
Storke Tower                      , 34412636, -119848387, 2
Tag Muraul                        , 34412278, -119848893, 6
UCSB Art &amp; Architecture Museum, 34412038, -119848710, 3
UCSB Art Department Rock Garden   , 34412047, -119849279, 8
University Art Museum             , 34412415, -119849317, 3
Untitled 1981                     , 34412159, -119849639, 3
Zig Zag Statue                    , 34412792, -119849048, 7
